Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
ELIC-100,,,,,,,
,COOPER B,2.11,0.0%,44.44%,33.33%,11.11%,11.11%,1
,DAVIS S,2.06,2.56333333333%,36.05%,31.6333333333%,25.3266666667%,4.42%,3
,FLACY K,2.0,0.0%,32.54%,43.65%,14.68%,9.125%,2
,GREINER K,2.5,3.845%,69.23%,11.54%,3.845%,11.535%,2
,MCINTYRE C,1.72,2.38%,32.47%,21.6466666667%,21.43%,22.0766666667%,3
,PULAK S,2.56,11.11%,55.56%,22.22%,0.0%,11.11%,1
,ROCHA R,3.0,16.67%,66.67%,16.67%,0.0%,0.0%,1
,SCHLOTTMAN A,2.41,5.88%,47.06%,35.29%,5.88%,5.88%,1
,STURGEON S,0.93,0.0%,14.29%,14.29%,21.43%,50.0%,1
,VACHTSEVANOU S,1.75,0.0%,33.33%,33.33%,8.33%,25.0%,1
,VERNON T,2.66,17.26%,51.34%,18.1025%,6.5975%,6.6975%,4
,WILLAERT A,2.08,7.69%,38.46%,23.08%,15.38%,15.38%,1
,,,,,,,
ELIC-200,,,,,,,
,DAVIS S,2.21,10.0%,23.33%,47.78%,15.555%,3.335%,2
,DOWNEY M,2.67,0.0%,66.67%,33.33%,0.0%,0.0%,1
,DZIUBINSKI I,3.02,6.25%,89.585%,4.165%,0.0%,0.0%,2
,FLACY K,2.56,6.25%,50.0%,37.5%,6.25%,0.0%,1
,GREINER K,1.95,2.08333333333%,41.0966666667%,30.61%,2.56333333333%,23.6466666667%,3
,MCINTYRE C,2.66,16.1016666667%,48.15%,24.5433333333%,8.30166666667%,2.90333333333%,6
,PETERS R,3.13,18.75%,75.0%,6.25%,0.0%,0.0%,1
,SUROVIK R,2.56,6.25%,56.25%,31.25%,0.0%,6.25%,1
,VERNON T,2.86,20.0%,62.5%,9.165%,0.0%,8.335%,2
,YOUNG L,2.34,0.0%,63.45%,19.165%,5.355%,12.02%,2
,,,,,,,
ELIC-250,,,,,,,
,FLACY K,1.64,0.0%,35.71%,28.57%,0.0%,35.71%,1
,GREINER K,2.44,8.636%,53.368%,21.888%,5.302%,10.804%,5
,PAYNE G,2.08,3.38714285714%,45.8428571429%,24.5957142857%,7.85714285714%,18.3157142857%,7
,PETERS R,2.02,10.0%,45.225%,4.545%,17.045%,23.18%,2
,PULAK S,2.79,17.245%,59.775%,15.4275%,0.0%,7.55%,4
,ROCHA R,3.0,33.33%,44.44%,11.11%,11.11%,0.0%,1
,,,,,,,
ELIC-300,,,,,,,
,BRYAN K,2.58,0.0%,68.42%,26.32%,0.0%,5.26%,1
,CARRUTHERS S,2.74,10.9275%,64.7875%,16.505%,2.5%,5.2775%,4
,COOPER B,2.61,11.11%,61.3466666667%,14.2066666667%,3.70333333333%,9.63%,3
,DOWNEY M,2.29,5.18857142857%,42.7442857143%,36.63%,6.11714285714%,9.31857142857%,7
,DZIUBINSKI I,2.7,4.71333333333%,61.5%,32.7133333333%,1.07666666667%,0.0%,3
,FLACY K,2.75,11.11%,66.92%,14.645%,0.0%,7.325%,2
,GREINER K,2.4,3.845%,55.6975%,27.1975%,2.5575%,10.7025%,4
,PETERS R,2.61,0.0%,72.86%,20.2075%,1.6125%,5.315%,4
,PULAK S,2.73,7.40571428571%,75.7471428571%,6.84857142857%,2.38857142857%,7.60714285714%,7
,SUROVIK R,1.8,0.0%,50.0%,10.0%,10.0%,30.0%,1
,ULBRICH M,2.39,1.04%,60.325%,25.095%,3.125%,10.415%,2
,VERNON T,2.6,13.33%,60.0%,13.33%,0.0%,13.33%,1
,,,,,,,
ELID-100,,,,,,,
,DAVIS S,3.02,59.76%,6.69666666667%,18.5833333333%,5.88333333333%,9.07666666667%,3
,GREINER K,3.27,71.1816666667%,12.1483333333%,0.98%,3.84666666667%,11.8416666667%,6
,MAKAL T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,MCINTYRE C,3.63,73.268%,19.748%,3.65%,3.334%,0.0%,5
,PERLMAN R,3.59,64.71%,29.41%,5.88%,0.0%,0.0%,1
,VERNON T,2.88,70.59%,0.0%,0.0%,5.88%,23.53%,1
,WILLAERT A,3.04,50.602%,23.682%,11.714%,6.666%,7.334%,5
,,,,,,,
ELID-200,,,,,,,
,DOWNEY M,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ELIE-100,,,,,,,
,COX L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ELIE-200,,,,,,,
,SEARS M,3.45,72.73%,18.18%,0.0%,0.0%,9.09%,1
,,,,,,,
ELIE-300,,,,,,,
,MAKAL T,3.0,45.45%,27.27%,18.18%,0.0%,9.09%,1
,,,,,,,
ELIG-100,,,,,,,
,FLACY K,2.79,22.41%,53.7533333333%,10.0633333333%,6.98%,6.79%,3
,GREINER K,2.65,14.38%,50.98%,22.875%,8.825%,2.94%,2
,MANSON P,2.0,0.0%,31.25%,50.0%,6.25%,12.5%,1
,PETERS R,2.63,35.3266666667%,25.3566666667%,20.2266666667%,5.12666666667%,13.96%,3
,VACHTSEVANOU S,2.93,34.23%,40.385%,13.845%,7.69%,3.845%,2
,VERNON T,2.73,18.18%,54.55%,18.18%,0.0%,9.09%,1
