Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
AFST-201,,,,,,,
,BABERS M,3.13,46.67%,33.33%,13.33%,0.0%,6.67%,1
,DONKOR D,3.92,93.465%,5.535%,1.0%,0.0%,0.0%,4
,LAWO-SUKAM A,3.42,57.0233333333%,30.7133333333%,9.40333333333%,2.85666666667%,0.0%,3
,OIS S,3.49,67.03%,19.595%,10.99%,0.0%,2.38%,2
,TUHKANEN M,3.42,66.665%,16.67%,11.11%,2.78%,2.78%,2
,,,,,,,
AFST-204,,,,,,,
,OLIVER L,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,1
,TUHKANEN M,2.75,37.5%,37.5%,0.0%,12.5%,12.5%,1
,,,,,,,
AFST-206,,,,,,,
,SALTER P,3.45,57.5933333333%,29.8133333333%,12.5933333333%,0.0%,0.0%,3
,,,,,,,
AFST-208,,,,,,,
,SALTER P,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
AFST-209,,,,,,,
,SALTER P,3.38,47.61%,42.58%,9.81%,0.0%,0.0%,2
,,,,,,,
AFST-252,,,,,,,
,CURRY T,2.67,25.794%,33.77%,29.524%,3.334%,7.58%,5
,MILAM A,3.7,70.0%,30.0%,0.0%,0.0%,0.0%,1
,,,,,,,
AFST-285,,,,,,,
,TUHKANEN M,2.67,16.67%,66.67%,0.0%,0.0%,16.67%,1
,,,,,,,
AFST-300,,,,,,,
,BROUSSARD A,3.0,40.0%,20.0%,40.0%,0.0%,0.0%,1
,STARKS E,2.83,38.335%,43.335%,0.0%,0.0%,18.335%,2
,,,,,,,
AFST-301,,,,,,,
,BROUSSARD A,3.0,20.0%,60.0%,20.0%,0.0%,0.0%,1
,STARKS E,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,2
,,,,,,,
AFST-302,,,,,,,
,CARTER-SOWELL A,3.2,60.0%,20.0%,10.0%,0.0%,10.0%,1
,CASTOR N,3.08,25.0%,58.33%,16.67%,0.0%,0.0%,1
,,,,,,,
AFST-303,,,,,,,
,CARTER-SOWELL A,3.0,42.86%,14.29%,42.86%,0.0%,0.0%,1
,,,,,,,
AFST-317,,,,,,,
,BENNEFIELD Z,3.2,40.0%,40.0%,20.0%,0.0%,0.0%,1
,CAMPBELL M,2.97,38.335%,28.335%,25.0%,8.335%,0.0%,2
,MOORE W,3.2,40.0%,40.0%,20.0%,0.0%,0.0%,1
,REGAN M,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,1
,SAKAMOTO A,3.02,28.335%,45.0%,26.665%,0.0%,0.0%,2
,,,,,,,
AFST-325,,,,,,,
,LAWO-SUKAM A,3.23,28.75%,65.0%,6.25%,0.0%,0.0%,2
,,,,,,,
AFST-327,,,,,,,
,DONKOR D,3.91,91.2966666667%,8.70333333333%,0.0%,0.0%,0.0%,3
,,,,,,,
AFST-329,,,,,,,
,EARHART A,3.0,20.0%,60.0%,20.0%,0.0%,0.0%,1
,,,,,,,
AFST-346,,,,,,,
,YARAK L,2.5,30.0%,10.0%,50.0%,0.0%,10.0%,2
,,,,,,,
AFST-391,,,,,,,
,CARTER-SOWELL A,2.86,14.29%,57.14%,28.57%,0.0%,0.0%,1
,,,,,,,
AFST-425,,,,,,,
,POIROT K,3.0,40.0%,20.0%,40.0%,0.0%,0.0%,1
,,,,,,,
AFST-481,,,,,,,
,JOHNSON V,3.0,28.57%,42.86%,28.57%,0.0%,0.0%,1
,,,,,,,
AFST-485,,,,,,,
,CASTOR N,3.0,25.0%,62.5%,0.0%,12.5%,0.0%,1
,,,,,,,
AFST-489,,,,,,,
,HANKINS R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
AFST-601,,,,,,,
,JOHNSON V,3.8,79.63%,20.37%,0.0%,0.0%,0.0%,3
,,,,,,,
ANTH-201,,,,,,,
,ALVARD M,2.43,13.5683333333%,35.73%,34.125%,12.3%,4.27666666667%,6
,BERGSTROM K,3.55,74.47%,14.89%,6.38%,0.0%,4.26%,1
,BRYANT V,2.47,12.3842857143%,40.0%,33.9842857143%,9.27428571429%,4.35857142857%,7
,CARLSON D,3.88,88.8266666667%,10.0633333333%,1.11%,0.0%,0.0%,3
,DE R,2.58,20.26%,32.21%,35.525%,8.845%,3.155%,2
,GOEBEL F,2.62,23.3%,31.07%,31.07%,13.59%,0.97%,1
,GURSKY-DOYEN S,2.67,17.05%,37.98%,38.76%,5.43%,0.78%,1
,WINKING J,3.06,35.29%,41.18%,17.65%,5.88%,0.0%,1
,,,,,,,
ANTH-202,,,,,,,
,CARLSON D,3.18,43.93%,36.535%,14.715%,3.5725%,1.25%,4
,GRAF K,2.48,9.33%,40.67%,41.33%,6.0%,2.67%,1
,SMITH H,3.16,38.0%,40.0%,22.0%,0.0%,0.0%,1
,THOMS A,2.51,9.66%,45.36%,34.02%,8.005%,2.95%,2
,WATERS M,2.65,23.275%,34.99%,26.725%,13.255%,1.755%,2
,,,,,,,
ANTH-204,,,,,,,
,GORE A,3.1,34.765%,50.0%,9.525%,2.38%,3.335%,2
,GRAF K,3.13,36.7933333333%,43.9533333333%,16.0866666667%,2.22333333333%,0.94%,3
,,,,,,,
ANTH-205,,,,,,,
,ALVARD M,2.73,15.89%,52.34%,23.36%,5.61%,2.8%,1
,BECK C,2.83,20.712%,52.552%,17.856%,6.596%,2.286%,5
,BERGSTROM K,3.78,82.61%,13.04%,4.35%,0.0%,0.0%,1
,BRYANT V,2.48,13.7885714286%,37.9485714286%,33.4028571429%,11.9385714286%,2.92%,7
,BUDSBERG N,3.75,80.7066666667%,16.3466666667%,1.47333333333%,0.64%,0.833333333333%,3
,CAMPBELL T,2.83,34.78%,26.09%,30.43%,4.35%,4.35%,1
,CARTELLONE C,3.37,46.99%,45.78%,4.82%,2.41%,0.0%,1
,CHO H,3.43,60.71%,25.0%,10.71%,3.57%,0.0%,1
,CHRISTY B,2.85,21.74%,43.48%,32.61%,2.17%,0.0%,1
,COE M,2.94,29.84%,41.684%,22.376%,4.658%,1.442%,5
,COOK L,3.73,76.17%,21.01%,2.815%,0.0%,0.0%,2
,CUELLAR S,2.98,29.295%,40.49%,28.965%,1.25%,0.0%,2
,DOGAN H,3.03,37.93%,41.38%,10.34%,6.9%,3.45%,1
,FARRAR J,3.7,69.7%,30.3%,0.0%,0.0%,0.0%,1
,FIELDS L,3.25,45.1025%,39.1725%,12.6075%,1.515%,1.6%,4
,GORE A,3.3,42.575%,47.49%,7.595%,2.0025%,0.3375%,4
,HOFFMEISTER K,2.96,28.0033333333%,44.4233333333%,24.5166666667%,1.30333333333%,1.75333333333%,3
,KETRON C,3.9,90.01%,9.99%,0.0%,0.0%,0.0%,2
,KRUSELL K,3.38,59.785%,22.88%,14.63%,1.35%,1.35%,2
,LAUGHLIN T,3.49,63.434%,26.284%,7.636%,1.194%,1.454%,5
,LEE I,2.62,24.14%,31.03%,34.48%,3.45%,6.9%,1
,LITTLEFIELD J,2.95,27.9%,49.495%,15.15%,4.355%,3.095%,2
,LYNCH D,3.61,70.1766666667%,22.3916666667%,6.26666666667%,0.93%,0.238333333333%,6
,LYNCH J,3.0,36.5766666667%,36.46%,19.5966666667%,5.14333333333%,2.22666666667%,3
,MATHENY R,2.94,40.385%,32.905%,16.025%,1.28%,9.4%,2
,MELIA-TEEVAN K,3.48,60.0%,30.0%,7.5%,2.5%,0.0%,1
,MIRACLE J,2.51,13.89%,44.445%,27.78%,6.945%,6.945%,2
,MUELLER M,3.47,61.715%,26.535%,9.295%,1.72%,0.7325%,4
,OIS S,3.25,53.01%,30.12%,7.23%,8.43%,1.2%,1
,PEPPER K,3.65,69.105%,28.33%,1.97%,0.0%,0.595%,2
,PUCKETT N,3.05,25.0%,60.0%,12.5%,0.0%,2.5%,1
,RATERMAN J,3.53,66.38%,21.48%,10.415%,1.725%,0.0%,2
,RIGGS C,3.46,54.0%,39.0%,6.0%,1.0%,0.0%,2
