Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
AERS-101,,,,,,,
,JORDAN C,3.75,78.09%,20.85%,0.0%,0.35%,0.71%,1
,CANTRELL C,3.76,77.29%,21.525%,1.185%,0.0%,0.0%,2
,ARCHER J,3.77,79.76%,17.26%,1.79%,1.19%,0.0%,1
,,,,,,,
AERS-102,,,,,,,
,MCCLANAHAN R,3.95,95.45%,3.9%,0.65%,0.0%,0.0%,1
,HAGUE M,3.7,71.775%,26.885%,1.115%,0.0%,0.225%,2
,CANTRELL C,3.9,90.205%,9.795%,0.0%,0.0%,0.0%,2
,ARCHER J,3.78,81.71%,16.57%,0.57%,0.0%,1.14%,1
,,,,,,,
AERS-105,,,,,,,
,ROWLEY M,3.99,98.81%,0.99%,0.2%,0.0%,0.0%,1
,,,,,,,
AERS-106,,,,,,,
,COHN W,3.96,99.4%,0.0%,0.0%,0.0%,0.6%,1
,,,,,,,
AERS-201,,,,,,,
,MCCLANAHAN R,3.96,96.5%,2.8%,0.7%,0.0%,0.0%,1
,KOSTER B,3.63,70.06%,26.95%,1.8%,0.0%,1.2%,1
,ARCHER J,3.7,77.14%,19.59%,1.22%,1.63%,0.41%,1
,,,,,,,
AERS-202,,,,,,,
,MCCLANAHAN R,3.8,81.95%,17.29%,0.75%,0.0%,0.0%,1
,KOSTER B,3.76,82.12%,14.66%,1.0%,1.0%,1.22%,2
,ROWLEY M,3.82,82.05%,17.95%,0.0%,0.0%,0.0%,1
,SISSON S,3.71,75.0%,22.06%,2.94%,0.0%,0.0%,1
,,,,,,,
AERS-303,,,,,,,
,SANGER N,3.91,94.12%,2.94%,2.94%,0.0%,0.0%,2
,ROWLEY M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
AERS-304,,,,,,,
,SANGER N,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,ROWLEY M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SAGENDORPH W,3.93,92.86%,7.14%,0.0%,0.0%,0.0%,1
,,,,,,,
AERS-403,,,,,,,
,MCCLANAHAN R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,CANTRELL C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SISSON S,3.95,95.12%,4.88%,0.0%,0.0%,0.0%,1
,ARCHER J,3.92,90.0%,10.0%,0.0%,0.0%,0.0%,1
,,,,,,,
