Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
ASTR-101,,,,,,,
,DEPOY D,2.84,20.49%,49.27%,25.395%,3.135%,1.715%,2
,KRISCIUNAS K,2.73,30.60375%,30.48875%,24.255%,10.5775%,4.0725%,8
,MACRI L,2.71,21.9766666667%,39.53%,27.8466666667%,9.07%,1.57666666667%,3
,SUNTZEFF N,3.01,36.99%,35.62%,20.55%,5.48%,1.37%,1
,TRAN K,2.85,34.18%,32.91%,21.1%,7.17%,4.64%,1
,WANG L,3.03,39.57%,35.945%,15.62%,5.4%,3.465%,2
,,,,,,,
ASTR-102,,,,,,,
,ALCORN L,3.85,88.1871428571%,9.98%,0.851428571429%,0.411428571429%,0.571428571429%,7
,FORREST B,3.83,86.0657142857%,11.41%,2.33285714286%,0.0%,0.192857142857%,7
,NAGASAWA D,3.79,83.6766666667%,14.0766666667%,0.89%,0.443333333333%,0.913333333333%,3
,OELKERS R,3.89,96.3%,1.23%,0.0%,0.0%,2.47%,1
,QUICK A,3.98,98.275%,1.725%,0.0%,0.0%,0.0%,2
,TOMCZAK A,3.68,68.42%,31.58%,0.0%,0.0%,0.0%,1
,,,,,,,
ASTR-109,,,,,,,
,BARUN K,2.78,34.78%,26.09%,26.09%,8.7%,4.35%,1
,TOBACK D,3.6,66.0328571429%,26.0042857143%,3.63428571429%,0.801428571429%,3.52428571429%,7
,,,,,,,
ASTR-111,,,,,,,
,DEPOY D,3.17,36.59%,46.34%,14.63%,2.44%,0.0%,1
,KRISCIUNAS K,3.0,37.18%,36.235%,19.25%,5.5125%,1.825%,4
,MARSHALL J,3.19,38.3%,42.55%,19.15%,0.0%,0.0%,1
,SUNTZEFF N,3.09,38.54%,37.43%,17.355%,6.68%,0.0%,2
,WANG L,3.6,72.13%,19.67%,3.28%,3.28%,1.64%,1
,,,,,,,
ASTR-119,,,,,,,
,CLARK S,3.22,36.59%,56.1%,2.44%,2.44%,2.44%,1
,COLLETTI K,3.6,72.56%,20.415%,2.855%,2.085%,2.085%,2
,UPADHYAYULA S,3.46,68.055%,18.81%,7.83%,0.0%,5.3%,2
,YEAGER S,3.79,78.13%,21.88%,0.0%,0.0%,0.0%,1
,ZHAO X,3.61,72.0%,20.0%,4.0%,0.0%,4.0%,1
,,,,,,,
